questions,answers
How does the FashionPass membership work?,"You can choose from any one of our 3 plans. Each plan determines how many items you can rent at a time, and you can swap your items for new ones as many times a month as you want :). Return ALL of your items when you're ready and you’ll be able to select new ones within two days. Shipping and dry cleaning are always free. You can also purchase anything you’d like to keep with our special members only discount. Simply hold onto those items and return the rest using the provided pre-paid FedEx shipping label."
How do I exchange my current items for new ones?,"When you're ready, return all of your items using the provided pre-paid FedEx GROUND label and packaging, and take it to your nearest FedEx or FedEx Walgreens location.Do not drop your package into a FedEx Express Drop Box or your return may be significantly delayed. Click here to see your closest FedEx GROUND drop off locations. Members on the Legacy and Socialite plans will be able to select new items within two days of the scan on the return, while Trendsetter and Wanderlust members will be able to select new items on the same day as the scan.Please send back using the provided return packaging and pack the clothing items and accessories in the protective bags they came with. Simply keep any item(s) you would like to purchase and we will automatically charge the card on file for the discounted member price when we receive your return."
Can I just swap some of my items and send the rest back later?,"Because we offer the option to keep anything you'd like to purchase, we require that all of your items are returned together. However, if you want to hold onto one of your items a little bit longer, you do have the option to transfer an item to your next order for $19.95! To transfer an item, visit the My Orders page and click transfer to next order."
When will I be able to choose my next items?,"Members on the Legacy and Socialite plans will be able to select new items within two days of the scan on the return, while Trendsetter and Wanderlust members will be able to select new items on the same day as the scan.Do not drop your package into a FedEx Express Drop Box or your return may be significantly delayed. Click here to see your closest FedEx GROUND drop off locations."
Can I get my return checked in early?,"Yes! If your plan does not already include same-day check-in, you can activate early check-in for $9 (plus tax if applicable) once your return package is scanned in by FedEx GROUND."
How does it work when I add an item for $19.95?,"Option 1: Want to add more items to your new order? You can add up to two additional items for $19.95 each (plus tax if applicable) before you place your order.Option 2: Need an additional item sent out but not ready to send back your current order? You can add up to two additional items for $19.95 each (plus tax if applicable), and we will get your new item(s) shipped out to you with free standard shipping. Rush shipping options are available at checkout."
How long can I hold onto my membership items?,"You can keep your items for an unlimited amount of time, as long as your membership is in good standing. Keep them for a week or an entire season — it’s up to you! You must return all of your pieces at the same time otherwise we will assume you want to purchase the items you're holding onto and will charge your card on file for the member price of those items. If you don't want to purchase anything from your box, simply place all the items into the return package and send everything back together."
How do I upgrade or downgrade my plan?,"Simply go to the Plans & Pricing section to select the plan that you want to switch to. Follow the prompts and you’ll be all set!Please note, if you are currently on a Legacy plan, you will be unable to return to your Legacy plan pricing once you make any changes to your account by upgrading or downgrading."
How do I pick items for my first FashionPass order?,"Once you’ve selected a plan and successfully created a subscription, you will immediately be able to select the items for your first order.                1. Click ""All Clothing"" in the Unlimited Membership menu to see all available clothing items. Click “Accessories” to browse all available accessories.         2. Select your items and click “Add to my bag"" after clicking on your size. Complete the checkout page and you're done!"
Will the clothing items need to be steamed upon arrival?,"Due to the nature of shipping, some items may be slightly wrinkled upon arrival. If your item is wrinkled, we ask that you steam it on low heat."
